"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.2478","0.2478","0.2478","0.2328","0.4961","0.6219","0.6566","0.641","0.6664","0.8548","0.9926","0.8305","0.9817","1.1021","1.0751","1.3486","1.3218","1.4181","1.5037","1.6427","1.6679","1.8338","2.1116","2.1675","2.2108","2.6693","2.9398","3.3239","3.3985","3.1008","3.0298","3.7938","3.8556","3.9339","4.5429","5.0552","5.275","5.3885","6.0244","6.3529","7.3493","8.563","8.6495","8.2092","8.8704","9.2879","9.8355","10.9789","12.0411","11.7017","10.36","12.1259","13.7195","",
"Bulgaria","BGR","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","4.3683","4.3683","4.3399","4.2583","4.0046","3.9712","3.9719","3.9803","4.0249","3.964","4.1164","3.964","3.964","3.964","3.8328","3.6987","3.6895","3.7139","6.8529","7.2597","6.4412","3.4765","3.8084","4.3113","3.9355","4.1905","4.1435","4.2794","5.4217","5.6515","5.4312","5.6036","5.8296","6.4195","6.9498","7.7639","8.1901","7.925","8.3051","7.9775","7.7599","7.9352","8.212","7.2682","8.1347","8.9279","9.0449","9.1891","9.397","9.5208","8.9545","9.4405","10.3148","",
"Bahrain","BHR","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.1801","0.1801","0.218","0.2304","0.2717","0.3638","0.475","0.5858","0.668","0.6155","0.6273","0.7061","0.7721","0.8539","0.8528","0.874","0.8381","0.8342","0.8811","0.9279","0.9908","1.0061","1.1165","1.1566","1.1781","1.2289","1.2567","1.3162","1.3882","1.4412","1.5254","1.5877","1.7808","1.9354","2.1188","2.4819","2.5948","2.8232","3.0894","3.0422","3.1245","2.9441","3.1615","3.2764","3.3746","3.5224","3.5994","3.7103","3.8249","3.7402","3.2941","3.4088","3.6188","",
"Bahamas, The","BHS","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0739","0.0739","0.0596","0.0658","0.0768","0.101","0.1083","0.1115","0.1164","0.1013","0.145","0.1559","0.1409","0.1134","0.1112","0.0989","0.107","0.1279","0.127","0.1583","0.2986","0.2776","0.2474","0.2639","0.2883","0.3344","0.3719","0.3792","0.4452","0.4096","0.3165","0.3186","0.3342","0.2438","0.262","0.2634","0.344","0.4089","0.4358","0.3662","0.4296","0.2649","0.3232","0.3613","0.3764","0.3498","0.3797","0.4216","0.5192","0.5688","0.4797","0.4647","0.4844","",
"Bosnia and Herzegovina","BIH","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","1.8395","1.8395","1.7709","1.8444","2.0978","2.0458","2.0891","2.2531","2.3997","2.4763","2.2629","2.2079","2.0436","2.1173","1.9685","2.2878","2.8288","2.4987","2.7391","2.5253","2.1911","1.8618","1.0625","0.8483","0.9662","0.9943","1.0254","1.0566","1.3985","1.3412","2.0899","2.129","2.0422","2.0556","2.3916","2.3044","2.8848","3.048","3.3804","3.491","3.4032","3.4068","3.1897","2.8176","2.9806","3.1064","3.62","3.7762","3.752","4.0147","3.6363","3.5332","3.6887","",
"Belarus","BLR","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","3.9829","3.9829","4.3169","4.6208","4.981","5.6007","5.9135","5.9893","6.1143","6.2831","6.6515","6.7442","6.7952","6.7515","6.7702","6.8601","7.3443","7.5867","7.6906","7.9128","11.4763","12.2504","11.3167","9.4631","6.7276","6.677","7.2472","7.6084","8.0436","7.0901","6.4536","6.12","6.6061","6.8204","6.9842","7.7742","9.1332","9.2925","10.5498","9.6488","10.2359","10.8728","11.6709","12.1818","11.591","10.3846","10.7984","11.2574","11.84","11.802","10.614","10.3744","9.7736","",
"Belize","BLZ","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.0042","0.0042","0.0034","0.0038","0.0044","0.0058","0.0062","0.0064","0.0067","0.0058","0.0083","0.0081","0.0079","0.0084","0.0098","0.0099","0.0133","0.0116","0.0089","0.0142","0.0343","0.0405","0.0349","0.0353","0.0337","0.0383","0.0315","0.0555","0.0576","0.0616","0.0436","0.0448","0.0429","0.0444","0.0405","0.0456","0.0541","0.0517","0.0512","0.0629","0.0768","0.0457","0.0509","0.0671","0.0667","0.0767","0.0789","0.0867","0.0827","0.0859","0.0724","0.0823","0.0876","",
"Bermuda","BMU","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","0.01","0.01","0.0081","0.0089","0.0104","0.0137","0.0147","0.0151","0.0158","0.0137","0.0197","0.0177","0.0197","0.0221","0.0236","0.0231","0.0234","0.036","0.0411","0.0544","0.0695","0.0646","0.0527","0.0611","0.0596","0.0601","0.061","0.0633","0.0662","0.0687","0.0477","0.0477","0.0509","0.0516","0.0519","0.0571","0.0729","0.0864","0.0894","0.0793","0.1037","0.0475","0.0564","0.0655","0.0901","0.072","0.095","0.0875","0.105","0.115","0.1054","0.1021","0.1064","",
"Bolivia","BOL","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","1.0026","1.0026","1.0782","1.1635","1.2769","1.5362","1.6952","1.9487","2.1898","2.2045","2.1481","2.0569","1.6889","1.7907","1.747","1.7656","1.7703","2.0129","2.0355","2.1692","2.257","2.3725","2.3416","2.7042","2.8113","3.1262","3.2421","3.074","3.1728","3.1763","2.6404","2.6471","2.7248","2.9238","3.2264","3.4527","3.9922","4.5138","5.087","5.5386","6.0736","6.7341","7.3173","8.1181","8.8102","9.1686","9.6586","10.3083","10.7137","10.8391","8.7469","10.8656","10.942","",
"Brazil","BRA","Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)","EN.GHG.CO2.TR.MT.CE.AR5","","","","","","","","","","","42.3801","42.3801","47.7507","56.2884","62.0749","66.1103","71.3535","69.461","74.3121","77.6723","73.3282","73.1213","73.2459","68.6883","67.6061","70.0857","77.5242","76.2123","76.3187","79.6341","82.1754","85.9714","86.6138","90.077","94.2098","104.1934","113.668","120.6104","126.8996","124.2512","125.4845","128.0415","130.0124","127.5148","136.4505","137.1925","140.2593","145.9657","151.3403","148.7176","167.9911","185.1526","202.541","209.7842","215.225","200.0104","199.046","200.1754","191.866","193.5775","182.5094","200.1659","210.5522","",
